Iteration	Posterior	Likelihood	Prior	alpha	beta	d[1]	d[2]	d[3]	d[4]	d[5]	d[6]	mean	var
3410	-20.7974	-15.5587	-5.23869	103.3314	3.110741	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.21762	10.67836
3420	-20.3229	-15.2132	-5.10974	117.0556	3.466035	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.77217	9.743748
3430	-21.1096	-15.7799	-5.32971	117.701	3.264877	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.05066	11.04196
3440	-21.0788	-15.1395	-5.93925	170.1396	4.946422	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.39651	6.953816
3450	-20.6864	-15.1353	-5.55117	152.9223	4.490299	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.05615	7.584383
3460	-21.2577	-15.8742	-5.38349	116.4907	3.221424	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.16125	11.22524
3470	-20.731	-15.1924	-5.53866	150.9344	4.453691	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.88972	7.609356
3480	-20.4574	-15.286	-5.17139	129.5875	3.855018	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.61527	8.719874
3490	-20.9119	-15.7411	-5.1708	125.3933	3.48549	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.9758	10.32159
3500	-20.2836	-15.0509	-5.23265	139.9605	4.073348	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.36006	8.435337
3510	-21.2898	-15.2461	-6.04361	91.60715	2.674223	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.25562	12.80956
3520	-20.5458	-15.1742	-5.37155	143.6444	4.239376	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.88339	7.992543
3530	-20.5583	-15.2747	-5.28362	114.5961	3.247138	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.29141	10.86847
3540	-20.3769	-15.0724	-5.30442	143.0357	4.180387	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.2159	8.184864
3550	-21.5358	-15.5886	-5.9472	180.5448	5.099403	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.40508	6.942985
3560	-21.7061	-16.5064	-5.19965	99.14185	3.074617	31.9935	34.5389	38.4753	35.088	36.985	29.6608	32.24527	10.48757
3570	-20.7329	-15.2014	-5.53155	160.4107	4.587044	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.97038	7.623729
3580	-20.5243	-15.2147	-5.30959	112.5417	3.203206	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.13407	10.96841
3590	-20.4584	-15.3297	-5.12874	138.7153	3.921658	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.37161	9.019555
3600	-21.6474	-16.1999	-5.44752	116.5544	3.194152	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.48993	11.42398
3610	-21.341	-15.2994	-6.04156	179.2639	5.12725	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.96297	6.819048
3620	-20.4818	-15.2575	-5.22429	133.9068	3.976347	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.67582	8.469035
3630	-20.4617	-15.0649	-5.39678	149.9924	4.349811	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.4825	7.927357
3640	-20.5653	-15.1427	-5.42262	103.6313	3.02183	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.29423	11.34883
3650	-21.91	-15.8665	-6.04352	160.905	4.858504	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.11822	6.816546
3660	-20.2468	-15.1119	-5.13487	135.8768	3.893065	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.90228	8.965245
3670	-20.3063	-15.0885	-5.21777	112.3863	3.259243	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.48234	10.57986
3680	-20.44	-15.0661	-5.37387	147.4736	4.297157	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.31888	7.986416
3690	-21.515	-15.5641	-5.95087	160.8683	4.815236	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.4082	6.938019
3700	-20.1801	-15.0757	-5.10446	125.8373	3.622201	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.74056	9.591009
3710	-21.0631	-15.746	-5.3171	117.9271	3.274802	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.01044	10.99622
3720	-20.2224	-15.0892	-5.13317	116.6197	3.408165	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.21773	10.03993
3730	-20.5402	-15.1588	-5.38143	144.4677	4.258416	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.92522	7.966628
3740	-20.3991	-15.2562	-5.14298	112.1738	3.328516	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.70084	10.12488
3750	-21.5009	-15.2009	-6.29996	181.3576	5.27601	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.37401	6.515152
3760	-21.4065	-15.2475	-6.159	92.81483	2.669172	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.7729	13.0276
3770	-21.0425	-15.5835	-5.45898	96.30827	2.899226	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.21862	11.45776
3780	-20.2557	-15.1509	-5.1048	122.4168	3.610035	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.91013	9.393296
3790	-20.3594	-15.2513	-5.10812	116.8902	3.469804	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.68784	9.708861
3800	-21.9726	-15.6399	-6.33273	172.3296	5.157065	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.41621	6.479695
3810	-20.1926	-15.0457	-5.14692	133.3881	3.877283	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.40247	8.872829
3820	-20.6061	-15.193	-5.41313	102.2955	3.006178	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.02843	11.3195
3830	-20.4865	-15.2859	-5.20059	118.9517	3.367014	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.32855	10.49255
3840	-21.3361	-15.2468	-6.08929	91.2051	2.659276	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.29696	12.8971
3850	-20.3477	-15.129	-5.21873	110.0581	3.224586	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.13091	10.58459
3860	-21.7099	-16.0972	-5.61271	144.2381	4.395049	31.9935	34.5389	38.4753	35.088	36.985	29.6608	32.81831	7.467109
3870	-23.3405	-15.9239	-7.41667	200.9861	6.018048	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.39722	5.549511
3880	-20.1731	-15.0685	-5.10457	124.6001	3.63996	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.23116	9.404267
3890	-24.2246	-16.0189	-8.20565	67.82906	2.05843	31.9935	34.5389	38.4753	35.088	36.985	29.6608	32.95185	16.00825
3900	-20.3203	-15.0686	-5.25179	143.7358	4.145896	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.66942	8.362349
3910	-20.5559	-15.4342	-5.12175	122.5322	3.671345	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.37528	9.090751
3920	-21.4993	-15.2373	-6.26196	183.5901	5.291398	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.69596	6.557049
3930	-20.9853	-15.6749	-5.31044	99.6839	3.014242	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.07096	10.97157
3940	-20.4246	-15.2337	-5.19092	118.7914	3.373172	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.21651	10.44018
3950	-20.8902	-15.7043	-5.18585	148.2943	4.142138	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.80139	8.643214
3960	-21.0796	-15.9702	-5.10941	140.7736	3.897588	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.11814	9.266793
3970	-20.8439	-15.7378	-5.10612	116.4973	3.53061	31.9935	34.5389	38.4753	35.088	36.985	29.6608	32.99637	9.345798
